"scientificName","decimalLongitude","decimalLatitude"
"Pogona vitticeps",141.62633,-35.84019
"Diporiphora nobbi",142.33006,-34.86496
"Amphibolurus norrisi",141.12635,-36.5402
"Pogona vitticeps",141.65967,-35.85685
"Intellagama lesueurii howitti",149.63713,-37.42121
"Pogona vitticeps",141.25966,-34.95685
"Intellagama lesueurii howitti",148.95273,-37.73731
"Amphibolurus muricatus",144.07972,-37.16694
"Diporiphora nobbi",141.97006,-34.828
"Diporiphora nobbi",141.99063,-35.65355
"Ctenophorus",142.29968,-34.74176
"Ctenophorus",141.25966,-34.95685
"Ctenophorus pictus",141.66801,-36.59852
"Amphibolurus muricatus",144.97973,-36.75651
"Diporiphora nobbi",142.16552,-35.6214
"Amphibolurus muricatus",145.54298,-37.70682
"Pogona vitticeps",141.37632,-34.95685
"Diporiphora nobbi",142.24298,-34.89384
"Diporiphora nobbi",142.33006,-34.86496
"Ctenophorus",141.06636,-34.75589
"Ctenophorus",142.31081,-34.68573
"Diporiphora nobbi",141.27521,-35.43428
"Diporiphora nobbi",142.45532,-35.51179
"Amphibolurus norrisi",141.65967,-35.85685
"Diporiphora nobbi",142.24298,-34.89384
"Ctenophorus",141.34994,-35.40826
"Ctenophorus pictus",141.37632,-34.95685
"Amphibolurus muricatus",146.68317,-36.32429
"Intellagama lesueurii howitti",149.56169,-37.36249
"Amphibolurus muricatus",145.31639,-37.54139
"Amphibolurus muricatus",144.97973,-36.75651
"Ctenophorus",141.65967,-35.85685
"Ctenophorus",142.30727,-35.22046
"Ctenophorus",142.39092,-35.54952
"Ctenophorus pictus",141.50968,-36.50686
"Intellagama lesueurii howitti",148.37625,-37.04012
"Diporiphora nobbi",142.67632,-35.69017
